datetime_next15,actual_next15_kW,pred_baseline_kW,pred_model_kW
2025-04-06 11:00:00+05:00,963.0,905.6005076124227,949.1466666666666
2025-01-14 09:45:00+05:00,366.0,332.62713997576697,370.56
2025-06-13 15:30:00+05:00,379.0,435.65585012785203,424.62666666666667
2025-02-09 08:30:00+05:00,358.0,305.87930176320646,363.7133333333333
2025-10-09 08:00:00+05:00,383.0,336.5897826739241,389.32
2025-01-22 12:45:00+05:00,780.0,788.3310502638356,780.2
2025-06-25 11:45:00+05:00,334.0,342.5337467211598,348.56
2025-07-03 13:15:00+05:00,457.0,498.06747262382663,478.24666666666667
2025-02-24 12:30:00+05:00,880.0,881.4531536705276,879.4966666666667
2025-03-31 15:45:00+05:00,345.0,395.03876247174156,336.3833333333333
2025-10-05 12:00:00+05:00,396.0,448.53443889686264,407.5366666666667
2025-03-08 12:30:00+05:00,942.0,905.6005076124227,940.8266666666667
2025-06-20 07:30:00+05:00,181.0,154.3082185586967,171.56666666666666
2025-03-07 14:45:00+05:00,698.0,741.7699985604893,690.6133333333333
2025-07-27 11:15:00+05:00,422.0,464.38500968949114,482.7366666666667
2025-08-21 06:45:00+05:00,167.0,111.7098095535077,145.87
2025-04-28 14:00:00+05:00,661.0,688.2743221353683,669.1466666666666
2025-01-25 08:15:00+05:00,262.0,214.73851970559275,268.71666666666664
2025-10-10 15:45:00+05:00,275.0,315.7859085085992,267.7866666666667
2025-08-04 09:45:00+05:00,537.0,497.07681194928733,543.1133333333333
2025-08-10 08:30:00+05:00,537.0,464.38500968949114,519.4066666666666
2025-09-05 11:15:00+05:00,599.0,615.9560928940009,594.8733333333333
2025-10-09 09:00:00+05:00,609.0,563.4510771434191,612.4866666666667
2025-04-13 06:45:00+05:00,156.0,110.71914887896841,154.42
2025-09-14 17:15:00+05:00,56.0,80.00866796825076,43.92333333333333
2025-10-05 15:30:00+05:00,67.0,64.15809717562229,64.74
2025-07-03 13:45:00+05:00,404.0,430.70254675515565,398.74333333333334
2025-02-03 16:15:00+05:00,225.0,280.1221242251852,225.89333333333335
2025-01-05 08:15:00+05:00,325.0,273.1874995034102,323.5933333333333
2025-05-13 08:15:00+05:00,271.0,289.0380702960387,299.16333333333336
2025-01-16 07:30:00+05:00,65.0,43.354223010297424,59.35
2025-03-12 06:30:00+05:00,34.0,58.214133128386614,43.376666666666665
2025-04-24 13:00:00+05:00,932.0,905.6005076124227,938.1233333333333
2025-08-30 13:00:00+05:00,560.0,593.1708973795974,571.24
2025-02-08 08:00:00+05:00,234.0,187.9906814930322,240.43666666666667
2025-08-14 14:45:00+05:00,353.0,371.2629062827989,356.85333333333335
2025-09-25 10:00:00+05:00,88.0,83.97131066640787,87.15333333333334
2025-02-23 10:30:00+05:00,806.0,771.4898187966678,804.9833333333333
